vUO0qwFeYvKFE3YiR9kAoQ,35919
6hTsKE8lmOZ9ofC9Vb2ZDg,1813
s_DMUxeM5eD4AkXaOY8H_w,21070
_zeKxdb5zlgCu-9PLF085w,50109
aKYnvpTcTbeUc2HVJhY5LQ,43551
Sq2Ggj2UgbPH1wLS3tNZEg,51933
LKP1tvFs4H5DgpPlNqzkCA,1013
Ux27OioydXrStGrsEvwg2A,43489
Slt0fLJICJSwUoSAayMpPw,37969
skGATn2pdmiSt7zxGy64Wg,16414
AZGbse_LZ1p8gCsmWtnfNA,974
hlq4EBn4ED8Azt9FYLTANw,47759
SqlX7XU-SJCVOZB71AmcnA,56614
4i-mHrOHOWinc9vIXq6joA,16666
i5I-zBoqv_kS0zdcjtmkdg,24842
ueo_kh3MeyUOZpK1AcTNZQ,6286
YvDFlN46DIH0hgNID8msGA,43098
TCLluVVoGGHBQNIMSrVXJA,41053
uDGZ2mbv6Z4sDjs6YiY6bQ,51524
IO9_bnzjvzYC0zajCx-iUg,9637
V8PvONsyzCCGKJXBw9KvMw,28688
UFvCKo6vi5yudcJGF9uEug,33805
k-gGGTHk6Lqurs0Wycw6Hw,52966
X5t6e37KpYRpWDqr30vMLg,40445
DwX0jxN8tKJoP4RQ80acTA,62439
RNoMJJwCVz8AAR-usCvYUg,8539
ycnwPqhoDrVJNf2Eo2e0lg,13349
_X4tXytBBsGfe3x0zf6oXQ,23323
pLavmoTfU9KQVFK354lLDQ,3460
OZbjRS35rnZB1sEJgXFUtA,14433
BGzYj1GQ1gwIhd5cYIfU8A,1997
lT8vDFmWTWWSvo4QLJt_Uw,3688
s10b9Ozb5RPKrou6T0v57A,13289
4sIfnCrm0VS_OAT6jpUDcQ,15601
SzJCBF_ujrOPvI_OXOC2Zw,24949
cHnlIFP5WwJRer7_C2NUng,1700
AgG3Y7OlOqAT96IMye17yQ,51765
tZd2nRXeT_kWMktN-_cdZg,45574
QW0VdzaZcxMUVS2kO090xA,11773
4zeG5Q7rfGFnpXsUDDYqNg,31843
bFV0q0Q-EeWJamY74lPxQA,8483
6CxwcHf-OkoNQ3IqzLArmg,24793
oAKXACiNiP0Dh1hH4sYYrQ,55966
E1bI83_AbOLgehzf1XOuhA,46237
ws1k8MG9sS9AOffPjX0Zbw,53712
L5IVwbV-AysN9xlPyCp6kA,27888
CSTWYMmUfbZCM1AJP5Mc-w,46182
_X0UMURuPHHZSIdZKpvn0g,27246
zItrIWxSGx_ceSPaWMJJtQ,53613
rVY5Gfy_wXiKvQ-JXkiCeA,61570
ndLbwr9yNNs7AczJPdQKqQ,60355
zL1sbp1LsAE7Vg2eJoMMHQ,64037
EnFaQhSKjLS8e9H3ou76zg,15308
SimBqxBHYwkPE8X7f_RnVg,26373
GBrCGwgN76a6DE-GDCDd9A,57651
ZfDBU11iIuYxqpVe_Hnqew,44541
hEk0VssowoyeEF2R0ZB-7w,59560
OXUYeVzU_jlau3vuujjFKw,58962
DU-t8kK8HJKZ3iGDi63sJQ,18561
l5upkLok78p-NQN_3uurrA,1132
THr8peJ3dxCXVgPlKjagHA,1260
