nW_1gn19lMnS9IF1KlZ-aA,312
HfFOfskD6KmCwwZTapAwGA,1737
cSA2pB43cv71ffdIvaEodA,2344
ZxGg3JpHVryyPSVpQHdLvQ,2737
U2hhSRVHfBryKPNTgasprA,207
cN4gmlntyQ-maTW4PdT-Kw,1793
WEqppm3f_XWwUE58luAHNQ,2026
kxDGexkbP30fBvxVI0CzFQ,304
DVYTS0ZLO-3ClAhMd99VYA,1920
4BcXBxadXP8UHUb2CBt2jA,2671
0bIAt8OIgdBh-cl5t0E3pg,2852
oinZM9-d2n5NvGuxvatDWA,582
DlCtdbceo4YNSI53cCL2lg,26
0QEpZi6AelUOXfk3-lCd1A,2563
Xq9tkiHhyN_aBFswFeGLvA,1972
4hNjK7TpXjb86rfLDvL1lA,2192
pwpl-rxwNRQdgqFz_-qMPg,1606
t2fYJQX4V7tFezUCaW2Gsw,2708
m1QuUNMkycDdiogLHikaEg,2167
bLFeZ84rAJdflY1Hu60_vw,1727
_2DT03K8fWh82Y9tBVYMKQ,1971
Yrjj_LCy_bPD_PINGjhdng,1188
7g8VWreWx4zoUzQcgF4pTw,1764
PxeX1M8WtyPxX1MuuGIh-g,136
0BXtWaDWN6Lh7T8mbbZniw,2465
pzJCv-ixgSL_z-46F74XrA,1117
VCCOmfNKYif3GA0YwsnoVg,780
=-mz0Zr0Dw6ZASg7_ah1R8A,590
UxMnY3Dxafucv5cXHyfBSA,203
Oi_OT6erHvm6lb_D8bwslw,2291
tts50qycF0LDaIc_zmf32A,2878
VlfBIVmtmGYkTq1xbdBIDw,671
3xEB9FyFXolq1b_Qn_BFtg,104
WyJuGTwFwoN0k8iX8FsqYw,79
b-t3nNmRw6alKw4aSqAgPg,2239
EqyNGesG22jNfNT5pmfYgw,823
YVk2L8pijsuNbaf7_Lm5iA,2834
daybz5OrNiTuCrLv_ukYzg,1312
2Yn5IgbAOtc7_bT0g47bQA,473
O8OU3j2fsKbDG26UFVmvig,2423
bzDs0u8I-z231QVdIQWkrA,1339
